title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in osca, 30, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,170000,2,71,https://www.idealista.com/en/inmueble/89045360/,2020-10-01,sale
"Flat / Apartment in calle de Frida Kahlo, 5, Plaça de Toros, Palma de Mallorca",Mallorca,Palma de Mallorca,198000,3,98,https://www.idealista.com/en/inmueble/88907612/,2020-10-01,sale
"Flat / Apartment in calle de Joan Alcover, 22, Montuiri",Mallorca,Montuiri,169000,3,140,https://www.idealista.com/en/inmueble/87056158/,2020-10-01,sale
"Penthouse in calle de Rocinante, Son Ferriol, Palma de Mallorca",Mallorca,Palma de Mallorca,145000,2,79,https://www.idealista.com/en/inmueble/91088863/,2020-10-01,sale
"Flat / Apartment in Federico Garcia Lorca, Magaluf, Calvià",Mallorca,Calvià,199900,3,73,https://www.idealista.com/en/inmueble/90817471/,2020-10-01,sale
Duplex in Muro,Mallorca,Muro,183000,3,90,https://www.idealista.com/en/inmueble/91071149/,2020-10-01,sale
"Flat / Apartment in calle Paraires, 2, Centro, Inca",Mallorca,Inca,180000,4,175,https://www.idealista.com/en/inmueble/90366743/,2020-10-01,sale
"Flat / Apartment in calle Puig d'Alaró, Cala Major, Palma de Mallorca",Mallorca,Palma de Mallorca,142000,2,70,https://www.idealista.com/en/inmueble/87919807/,2020-10-01,sale
"Flat / Apartment in calle trasimeno, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,139000,3,85,https://www.idealista.com/en/inmueble/91152387/,2020-10-01,sale
"Duplex in calle Frontó, Sineu",Mallorca,Sineu,183600,2,80,https://www.idealista.com/en/inmueble/91087842/,2020-10-01,sale
"Duplex in calle Lluna, Sineu",Mallorca,Sineu,195000,2,140,https://www.idealista.com/en/inmueble/91066907/,2020-10-01,sale
"Penthouse in albatros, Son Ferrer, Calvià",Mallorca,Calvià,198000,3,140,https://www.idealista.com/en/inmueble/90998100/,2020-10-01,sale
"Flat / Apartment in calle del Temple, Sindicat, Palma de Mallorca",Mallorca,Palma de Mallorca,198000,3,80,https://www.idealista.com/en/inmueble/90956434/,2020-10-01,sale
"Flat / Apartment in calle de son Nadal, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,4,140,https://www.idealista.com/en/inmueble/90889001/,2020-10-01,sale
"Flat / Apartment in travesía Jesús, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,4,108,https://www.idealista.com/en/inmueble/90542389/,2020-10-01,sale
Penthouse in Campos,Mallorca,Campos,180000,2,65,https://www.idealista.com/en/inmueble/87644660/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,157000,3,75,https://www.idealista.com/en/inmueble/91013954/,2020-10-01,sale
"Flat / Apartment in Formentor, 36, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,139000,3,109,https://www.idealista.com/en/inmueble/87387518/,2020-10-01,sale
"Flat / Apartment in calle de Salou, 4, Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,140000,3,97,https://www.idealista.com/en/inmueble/91186494/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,166000,3,85,https://www.idealista.com/en/inmueble/91095616/,2020-10-01,sale
"Flat / Apartment in Centro, Inca",Mallorca,Inca,179000,3,170,https://www.idealista.com/en/inmueble/91034253/,2020-10-01,sale
"Flat / Apartment in calle des Colomer, Campos",Mallorca,Campos,139480,3,112,https://www.idealista.com/en/inmueble/91074159/,2020-10-01,sale
"Flat / Apartment in Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,199000,2,90,https://www.idealista.com/en/inmueble/87471699/,2020-10-01,sale
Flat / Apartment in Santa Margalida,Mallorca,Santa Margalida,165000,3,90,https://www.idealista.com/en/inmueble/90997629/,2020-10-01,sale
"Flat / Apartment in calle de la Murta, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,168900,2,90,https://www.idealista.com/en/inmueble/89933504/,2020-10-01,sale
"Flat / Apartment in calle Sant Isidre Llaurador, Hostalets - Son Fortesa Sud, Palma de Mallorca",Mallorca,Palma de Mallorca,175000,3,100,https://www.idealista.com/en/inmueble/90101623/,2020-10-01,sale
"Flat / Apartment in calle Sagasta, Pobla (Sa)",Mallorca,Pobla (Sa),149900,3,108,https://www.idealista.com/en/inmueble/90659293/,2020-10-01,sale
"Flat / Apartment in de josep maria llompart, Cristo Rey - Parque Europa, Inca",Mallorca,Inca,177000,3,110,https://www.idealista.com/en/inmueble/90650673/,2020-10-01,sale
"Flat / Apartment in estacion, Porreres",Mallorca,Porreres,155000,2,101,https://www.idealista.com/en/inmueble/90622472/,2020-10-01,sale
"Flat / Apartment in calle Camp redó, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,2,80,https://www.idealista.com/en/inmueble/90621326/,2020-10-01,sale
"Flat / Apartment in calle pere seriol, Andratx Pueblo, Andratx",Mallorca,Andratx,199900,2,101,https://www.idealista.com/en/inmueble/90618872/,2020-10-01,sale
"Penthouse in calle Llotgeta, Sindicat, Palma de Mallorca",Mallorca,Palma de Mallorca,194900,2,90,https://www.idealista.com/en/inmueble/90558750/,2020-10-01,sale
"Flat / Apartment in calle manacor, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,169900,3,95,https://www.idealista.com/en/inmueble/90253348/,2020-10-01,sale
"Duplex in CL TRAMUNTANA, Sineu",Mallorca,Sineu,199900,3,117,https://www.idealista.com/en/inmueble/90241314/,2020-10-01,sale
"Flat / Apartment in illes balears, Porreres",Mallorca,Porreres,182000,3,123,https://www.idealista.com/en/inmueble/89852857/,2020-10-01,sale
"Flat / Apartment in reyes catolics, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,199900,3,93,https://www.idealista.com/en/inmueble/88165344/,2020-10-01,sale
"Flat / Apartment in Son Corb, 35, Cala Millor",Mallorca,Cala Millor,147000,3,88,https://www.idealista.com/en/inmueble/90697619/,2020-10-01,sale
"Flat / Apartment in calle Port de Palos, 3, Portocolom, Felanitx",Mallorca,Felanitx,170000,2,66,https://www.idealista.com/en/inmueble/90460783/,2020-10-01,sale
"Flat / Apartment in Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,129000,3,94,https://www.idealista.com/en/inmueble/89864209/,2020-10-01,sale
"Flat / Apartment in Cristo Rey - Parque Europa, Inca",Mallorca,Inca,165000,2,75,https://www.idealista.com/en/inmueble/91099541/,2020-10-01,sale
"Flat / Apartment in Cas Capiscol, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,2,75,https://www.idealista.com/en/inmueble/90723859/,2020-10-01,sale
"Flat / Apartment in calle del General Riera, 90, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,180000,4,110,https://www.idealista.com/en/inmueble/88121450/,2020-10-01,sale
"Flat / Apartment in L' est, Campos",Mallorca,Campos,169000,3,85,https://www.idealista.com/en/inmueble/89792306/,2020-10-01,sale
"Penthouse in calle de Santiago Álvarez Avellan, Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,162000,4,115,https://www.idealista.com/en/inmueble/88876479/,2020-10-01,sale
"Flat / Apartment in travesía Jesús, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,184000,3,79,https://www.idealista.com/en/inmueble/82307850/,2020-10-01,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,190000,3,90,https://www.idealista.com/en/inmueble/90344359/,2020-10-01,sale
"Penthouse in avenida Son Rigo, Les Maravelles, Palma de Mallorca",Mallorca,Palma de Mallorca,199000,2,60,https://www.idealista.com/en/inmueble/87821345/,2020-10-01,sale
"Penthouse in calle bonança, Colonia de Sant Jordi",Mallorca,Colonia de Sant Jordi,175000,2,70,https://www.idealista.com/en/inmueble/89840393/,2020-10-01,sale
